DNI; NOMBRE; APELLIDOS; DIRECCIÓN; POBLACIÓN; TELÉFONO; PROVINCIA; NOTA; PORCENTAJE BECA;            PRECIO MATRICULA; TASAS; PRECIO FINAL; 
41088103Y;Laura;Alamo Rodriguez;Calleja, 25;Alcorcón;916549684;Madrid;5,5;0,25;1200;150;1050,0;
16163438G;Jorge;Aragones Escribano;Posada, 45;Teruel;604785324;Teruel;8,2;0,4;900;50;590,0;
83119713J;Sofia;Beriyan Rosales;Avd. Prado, 2;Salamanca;919645465;Salamanca;3,24;0,0;1100;150;1250,0;
48700227G;Sonia;Escribano Lopez;Cuesta, 56;Toledo;687654654;Toledo;3,9;0,0;900;150;1050,0;
90253993S;Juan;Jurado Boadella;Matadero, 34;Soria;953654544;Soria;5,1;0,25;1100;150;975,0;
88801911S;Pedro;Lopez Martos;Cadiz, 34;Medinaceli;626544141;Soria;5,5;0,25;1100;150;975,0;
94763326Z;Ivanka;Lorenzo Saries;Martorell, 34;Medinaceli;626544165;Soria;5,9;0,25;1100;150;975,0;
20249604J;Emilia;Mariano Vazquez;Benavides, 23;Soria;952654564;Soria;6,3;0,25;1100;150;975,0;
31702688V;Carlos;Melero Ruiz;Eslovaquia, 12;Soria;669654146;Soria;7,1;0,4;1100;150;810,0;
28126845F;Antonio;Mi¤o Diaz;Astorga, 12;Llanes;986964565;Asturias;7,9;0,4;900;150;690,0;
97012757E;Monica;Rosales Santos;Vinateros, 12;Alcobendas;916655285;Madrid;9,5;0,8;1200;150;390,0;
81789624Z;Enrique;Rubio Rubio;La Estrella, 9;Madrid;636546544;Madrid;9,9;0,8;1200;100;340,0;
39085760C;Felix;Ruiz Aragones;Usera, 56;Madrid;916546541;Madrid;4,3;0,0;1200;100;1300,0;
86007729B;Arancha;Sanz Yuste;Albufera, 3;Valencia;946519441;Valencia;7,1;0,4;900;50;590,0;
51102012Z;Samuel;Yuste Jurado;Alborada, 12;Valencia;696546518;Valencia;8,3;0,4;900;50;590,0;
